time_step,lat,lon,pdop
0,30,50,2.06642
0,30,60,1.23145
0,30,70,1.402
0,30,80,2.31081
0,30,90,1.57434
0,30,100,1.57195
0,30,110,1.40147
0,30,120,1.29501
0,30,130,2.13937
0,30,140,1.95032
0,30,150,1.29666
0,30,160,1.29206
0,30,170,1.68648
0,30,180,1.89618
0,40,-180,1.6491
0,40,-170,1.82327
0,40,-160,1.82363
0,40,-150,1.30329
0,40,-140,1.33427
0,40,-130,1.27928
0,40,-120,1.22721
0,40,-110,1.50648
0,40,-100,1.7425
0,40,-90,1.36558
0,40,-80,1.36075
0,40,-70,1.2198
0,40,-60,1.25967
0,40,-50,1.52132
0,40,-40,1.72104
0,40,-30,2.06489
0,40,-20,1.77004
0,40,-10,1.60509
0,40,0,1.42677
0,40,10,1.2782
0,40,20,1.48932
0,40,30,1.4886
0,40,40,1.49177
0,40,50,1.71055
0,40,60,1.26252
0,40,70,1.10182
0,40,80,1.27322
0,40,90,1.36113
0,40,100,1.36243
0,40,110,1.29934
0,40,120,1.89258
0,40,130,1.89376
0,40,140,1.90219
0,40,150,1.5851
0,40,160,1.57747
0,40,170,1.572
0,40,180,1.6491
0,50,-180,1.63682
0,50,-170,1.80799
0,50,-160,1.80927
0,50,-150,1.2924
0,50,-140,1.36652
0,50,-130,1.17151
0,50,-120,1.11059
0,50,-110,1.19486
0,50,-100,1.35282
0,50,-90,1.3541
0,50,-80,1.68106
0,50,-70,1.36711
0,50,-60,1.35819
0,50,-50,1.35214
0,50,-40,1.39741
0,50,-30,1.58029
0,50,-20,1.41493
0,50,-10,1.34136
0,50,0,1.34371
0,50,10,1.19335
0,50,20,1.37609
0,50,30,1.36761
0,50,40,1.36222
0,50,50,1.3602
0,50,60,1.13161
0,50,70,1.04076
0,50,80,1.122
0,50,90,1.12531
0,50,100,1.12785
0,50,110,1.98787
0,50,120,1.86901
0,50,130,1.86842
0,50,140,1.87412
0,50,150,1.56613
0,50,160,1.5602
0,50,170,1.55665
0,50,180,1.63682
0,60,-180,1.20432
0,60,-170,1.28655
0,60,-160,1.28403
0,60,-150,1.2843
0,60,-140,1.28736
0,60,-130,1.29306
0,60,-120,1.18876
0,60,-110,1.31348
0,60,-100,1.66763
0,60,-90,1.66384
0,60,-80,1.66333
0,60,-70,1.3578
0,60,-60,1.35165
0,60,-50,1.34782
0,60,-40,1.34666
0,60,-30,1.2635
0,60,-20,1.33388
0,60,-10,1.33261
0,60,0,1.33346
0,60,10,1.33618
0,60,20,1.60462
0,60,30,1.35348
0,60,40,1.34938
0,60,50,1.34796
0,60,60,1.34938
0,60,70,1.12665
0,60,80,1.10732
0,60,90,1.20923
0,60,100,1.20684
0,60,110,1.20636
0,60,120,1.36135
0,60,130,1.26152
0,60,140,1.26285
0,60,150,1.19307
0,60,160,1.19199
0,60,170,1.23446
0,60,180,1.20432
0,70,-180,1.19983
0,70,-170,1.19905
0,70,-160,1.19935
0,70,-150,1.28695
0,70,-140,1.40614
0,70,-130,1.41007
0,70,-120,1.73545
0,70,-110,1.37909
0,70,-100,1.37752
0,70,-90,1.37702
0,70,-80,1.37763
0,70,-70,1.37936
0,70,-60,1.20005
0,70,-50,1.11779
0,70,-40,1.11625
0,70,-30,1.11543
0,70,-20,1.20179
0,70,-10,1.20134
0,70,0,1.37082
0,70,10,1.36717
0,70,20,1.36479
0,70,30,1.36373
0,70,40,1.36402
0,70,50,1.36567
0,70,60,1.36863
0,70,70,1.80536
0,70,80,1.80506
0,70,90,1.80681
0,70,100,1.32245
0,70,110,1.32261
0,70,120,1.32428
0,70,130,1.3274
0,70,140,1.15035
0,70,150,1.20752
0,70,160,1.2042
0,70,170,1.20159
0,70,180,1.19983
0,80,-180,1.50047
0,80,-170,1.5003
0,80,-160,1.50038
0,80,-150,1.50074
0,80,-140,1.50139
0,80,-130,1.50236
0,80,-120,1.50364
0,80,-110,1.50518
0,80,-100,1.50695
0,80,-90,1.50887
0,80,-80,1.51085
0,80,-70,1.5128
0,80,-60,1.51462
0,80,-50,1.51621
0,80,-40,1.51751
0,80,-30,1.21074
0,80,-20,1.20984
