time_step,lat,lon,pdop
0,60,-80,1.15255
0,60,-70,1.41929
0,60,-60,1.41676
0,60,-50,1.26216
0,60,-40,1.26072
0,60,-30,1.26139
0,60,-20,1.26421
0,60,-10,1.37501
0,60,0,1.41045
0,60,10,1.33848
0,60,20,1.34096
0,60,30,1.23899
0,60,40,1.24197
0,60,50,1.40214
0,60,60,1.40269
0,60,70,1.40554
0,60,80,1.53572
0,60,90,1.59833
0,60,100,1.71375
0,60,110,1.18411
0,60,120,1.21386
0,60,130,1.21458
0,60,140,1.21758
0,60,150,1.19607
0,60,160,1.22484
0,60,170,1.35029
0,60,180,1.22221
0,70,-180,1.26418
0,70,-170,1.2633
0,70,-160,1.37428
0,70,-150,1.3722
0,70,-140,1.37168
0,70,-130,1.61831
0,70,-120,1.61144
0,70,-110,1.50265
